ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site
1,0.0888250097632408,0.0027338624931871,0.11549986898899078,0.16578267514705658,0.041559889912605286,0.1333637535572052,0.14091265201568604,H1975,4.0,control,1
2,0.110816404223442,0.0060031423345208,0.10304934531450272,0.22014647722244263,0.01228116825222969,0.13338173925876617,0.15092624723911285,H1975,4.0,control,1
1,0.0711804330348968,0.005866112653166,0.09864148497581482,0.3730098009109497,0.0006166516104713082,0.14808110892772675,0.1839950978755951,H1975,4.0,control,10
2,0.1417464613914489,0.0055397120304405,0.0,0.0,0.0,0.0,0.0,H1975,4.0,control,10
3,0.3703905940055847,0.009812974371016,0.34015923738479614,0.49548834562301636,0.1649392694234848,0.37640270590782166,0.39793962240219116,H1975,4.0,control,10
4,0.0116958087310194,0.0015555951977148,0.12311087548732758,0.29506227374076843,0.008783567696809769,0.17361247539520264,0.2087453156709671,H1975,4.0,control,10
1,0.0849902853369712,0.0029205987229943,0.0857662707567215,0.14586646854877472,0.03306206315755844,0.10571710020303726,0.11859967559576035,H1975,4.0,control,11
1,0.0524433255195617,0.00433109421283,0.0,0.0,0.0,0.0,0.0,H1975,4.0,control,12
2,0.1059915497899055,0.0019038211321458,0.12305264919996262,0.2268523871898651,0.04172968864440918,0.15197263658046722,0.17161957919597626,H1975,4.0,control,12
3,0.0322042219340801,0.0066670402884483,0.18958540260791779,0.3802427351474762,0.013752237893640995,0.2592456042766571,0.29701560735702515,H1975,4.0,control,12
1,0.1665999293327331,0.0077776252292096,0.2463424801826477,0.3896262049674988,0.03525219485163689,0.2932930886745453,0.32000935077667236,H1975,4.0,control,13
2,0.091039627790451,0.009491441771388,0.1920756995677948,0.28633913397789,0.09467561542987823,0.23028327524662018,0.24546894431114197,H1975,4.0,control,13
3,0.1452636271715164,0.0065885358490049,0.12079247832298279,0.2334727644920349,0.008877859450876713,0.1638045758008957,0.18664966523647308,H1975,4.0,control,13
1,0.1856030374765396,0.0025373003445565,0.18619586527347565,0.31402117013931274,0.05209222435951233,0.22012872993946075,0.23832625150680542,H1975,4.0,control,14
1,0.0709707960486412,0.0047025945968925,0.08658038824796677,0.23948781192302704,0.000275145546765998,0.12054969370365143,0.14117541909217834,H1975,4.0,control,15
2,0.0763090848922729,0.0075347931124269,0.2595900595188141,0.3728448748588562,0.08075559884309769,0.30561745166778564,0.3268919885158539,H1975,4.0,control,15
3,0.0600578002631664,0.0054816305637359,0.11993496865034103,0.2606724500656128,0.002464077202603221,0.16524085402488708,0.18547368049621582,H1975,4.0,control,15
