ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish
1,0.1559045761823654,0.0135963484644889,0.17857500910758972,0.28185373544692993,0.0847577154636383,0.21263380348682404,0.2332618683576584,H1975,2,control,0,1
2,0.219840794801712,0.004372495226562,0.25264158844947815,0.34277474880218506,0.16828086972236633,0.2923150062561035,0.31590452790260315,H1975,2,control,0,1
3,0.0861231759190559,0.0106312884017825,0,0,0,0,0,H1975,2,control,0,1
4,0.0740888267755508,0.0114113921299576,0.1726638674736023,0.42268478870391846,0.009379941038787365,0.24481981992721558,0.289863258600235,H1975,2,control,0,1
5,0.0816950723528862,0.0062005324289202,0.08710762113332748,0.22084198892116547,0.00038596882950514555,0.12751895189285278,0.15394262969493866,H1975,2,control,0,1
6,0.1823590993881225,0.0042847860604524,0.1729232221841812,0.2588956356048584,0.10779144614934921,0.1935489922761917,0.20894107222557068,H1975,2,control,0,1
1,0.1660876423120498,0.0138986790552735,0.3075055778026581,0.4210471212863922,0.21953390538692474,0.34861353039741516,0.373341828584671,H1975,2,control,1,1
2,0.122309111058712,0.0065071680583059,0,0,0,0,0,H1975,2,control,1,1
3,0.1211564838886261,0.0036865083966404,0.15768291056156158,0.26781758666038513,0.07235583662986755,0.19041591882705688,0.21466942131519318,H1975,2,control,1,1
1,0.0743256136775016,0.0014805048704147,0.09640433639287949,0.13758376240730286,0.06617286801338196,0.10748349130153656,0.11481735110282898,H1975,2,control,10,1
2,0.0700435191392898,0.0027327409479767,0,0,0,0,0,H1975,2,control,10,1
1,0.0784545317292213,0.0015875278040766,0.06657826900482178,0.13407374918460846,0.003725437680259347,0.0888628363609314,0.10132034122943878,H1975,2,control,11,1
2,0.1962660104036331,0.0033990230876952,0.23450201749801636,0.3135598301887512,0.12470313906669617,0.2640887498855591,0.2792009711265564,H1975,2,control,11,1
3,0.0889614969491958,0.0186877623200416,0.24548299610614777,0.3692514896392822,0.0730486512184143,0.2885172367095947,0.3208560645580292,H1975,2,control,11,1
1,0.1484011560678482,0.0016452367417514,0.14055952429771423,0.2792189121246338,0.04147891327738762,0.17530786991119385,0.20037387311458588,H1975,2,control,12,1
1,0.0928096324205398,0.0003586703678593,0.10394849628210068,0.1478441059589386,0.049536433070898056,0.11758383363485336,0.1265229731798172,H1975,2,control,13,1
2,0.1273752748966217,0.0013084503589197,0.17767606675624847,0.23197321593761444,0.13553835451602936,0.19239623844623566,0.20200403034687042,H1975,2,control,13,1
3,0.0915817767381668,0.0008290831465274,0.09392775595188141,0.1213298887014389,0.0791836604475975,0.10210023820400238,0.10675342381000519,H1975,2,control,13,1
1,0.3931580483913421,0.0258680675178766,0.36151203513145447,0.5076072812080383,0.23913642764091492,0.4055022895336151,0.43884551525115967,H1975,2,control,14,1
1,0.2121075093746185,0.0531992800533771,0.17870263755321503,0.22162678837776184,0.1359473466873169,0.19358743727207184,0.20463864505290985,H1975,2,control,16,1
2,0.2639096081256866,0.010673931799829,0.15030862390995026,0.2129235565662384,0.0873270183801651,0.16766521334648132,0.18060652911663055,H1975,2,control,16,1
1,0.0778398141264915,0.00199861289002,0.059188660234212875,0.09566967934370041,6.962229963392019e-05,0.07626923173666,0.08425719290971756,H1975,2,control,17,1
2,0.0588668212294578,0.0016892172861844,0.06573525816202164,0.1613416224718094,0.014058205299079418,0.08965330570936203,0.11192373186349869,H1975,2,control,17,1
3,0.0728360339999198,0.0012669883435592,0.05818501487374306,0.08969467878341675,0.02268386445939541,0.0711740255355835,0.07877855002880096,H1975,2,control,17,1
4,0.0902899727225303,0.0031766067259013,0.08234589546918869,0.11951875686645508,0.04696333408355713,0.09504349529743195,0.10388530790805817,H1975,2,control,17,1
5,0.0009720004163682,0.0001282912853639,0.081023670732975,0.22811803221702576,0.01669437438249588,0.13333545625209808,0.19178785383701324,H1975,2,control,17,1
6,0.1068864837288856,0.0032228496856987,0.08816513419151306,0.1905660331249237,0.006242187228053808,0.11521722376346588,0.13252714276313782,H1975,2,control,17,1
